date,CO,NO_2
2001-01-31,1.1577037990831693,57.02658820654153
2001-02-28,1.2318767853914725,64.65492589027501
2001-03-31,0.8348807524139772,49.401207942023326
2001-04-30,0.6852841237391187,53.098802988651315
2001-05-31,0.773770018646283,64.10927568779704
2001-06-30,0.7288343099451489,67.62476274690155
2001-07-31,0.6265058534663042,61.68055460051522
2001-08-31,0.5514393579844831,55.67947668806659
2001-09-30,0.7429862499750955,65.18677963006627
2001-10-31,0.9505999315384235,59.172151414760414
2001-11-30,1.1341879436188473,68.70428490597327
2001-12-31,1.6011107893405578,88.83379353550028
2002-01-31,1.1614105502112124,74.0068759951806
2002-02-28,0.9714434969360068,69.75699806766701
2002-03-31,0.775432166477524,65.43563028506283
2002-04-30,0.6860230778475955,68.91649657468915
2002-05-31,0.5497903316175538,52.9493459636318
2002-06-30,0.5449854193001878,56.86387221651534
2002-07-31,0.5345173482348485,55.74969238475787
2002-08-31,0.46301495676979765,52.53977775209654
2002-09-30,0.7344239435680543,64.36867178373383
2002-10-31,0.8723234219720586,62.676853006171406
2002-11-30,0.8965781169882974,60.84047436957776
2002-12-31,0.951374214894871,56.857080289860356
2003-01-31,0.9564513561098218,59.99068838259254
2003-02-28,0.8705448252552299,60.70624845969641
2003-03-31,0.8008829893943149,62.28519929985499
2003-04-30,0.6089219439862948,51.28856501358199
2003-05-31,0.5466666367421246,53.88680577128001
2003-06-30,0.5261510570890209,58.00726351373559
2003-07-31,0.522945849740695,60.25610782749585
2003-08-31,0.45244458679472765,54.74161632741927
2003-09-30,0.5826493382941332,57.895613747461546
2003-10-31,0.6789820610169606,54.18815480980556
2003-11-30,0.8532772608367021,60.342267619753756
2003-12-31,1.0450345360009996,67.33885808794867
2004-01-31,0.9190720008380906,62.53500213014379
2004-02-29,0.8756853700431164,65.67887357364376
2004-03-31,0.612581264201997,56.79737609913638
2004-04-30,0.5176845312529612,50.734612050107444
2004-05-31,0.481605727138557,56.94271549302755
2004-06-30,0.4383938757425141,58.730594825459065
2004-07-31,0.44522911472453386,60.07451990535319
2004-08-31,0.39833745676975946,52.488406061816384
2004-09-30,0.5886081731187714,64.64672447490517
2004-10-31,0.6785132093123095,62.631686473087555
2004-11-30,1.0464719189699514,75.00320043679558
2004-12-31,0.8525299788846836,63.38377432691304
2005-01-31,1.1084145071002545,80.92491731582719
2005-02-28,0.7359028760464896,67.31625505957952
2005-03-31,0.6249224143923662,61.43823529293124
2005-04-30,0.5292963781419071,52.846491584785134
2005-05-31,0.468298611154861,51.86781802700293
2005-06-30,0.42460838586339794,54.96214133588617
2005-07-31,0.4630999497688596,52.653670432077966
2005-08-31,0.4644329473284716,51.10940984326298
2005-09-30,0.6182114561447193,62.409685478918945
2005-10-31,0.6905243360755147,63.71058599233669
2005-11-30,0.8221953919405836,68.76718505926404
2005-12-31,0.8617965430558213,73.67070029461655
2006-01-31,0.8081796347178171,70.69234381925281
2006-02-28,0.893724885048754,75.20506165629186
2006-03-31,0.5962620099172337,51.380762775429325
2006-04-30,0.499131445954216,52.834337523389756
2006-05-31,0.47229706527249093,57.48650481063373
2006-06-30,0.4084404695000146,59.348721086805746
2006-07-31,0.41769802061349587,59.52394219619692
2006-08-31,0.3763292851774322,46.456138807646575
2006-09-30,0.47129312035656423,60.960378598381006
2006-10-31,0.5721318991790613,59.84222869513082
2006-11-30,0.6720533858645173,64.8505352722248
2006-12-31,0.7807296330497006,70.93346686588184
2007-01-31,0.8457048471903132,69.00709767026909
2007-02-28,0.6281572023993018,54.8896076402263
2007-03-31,0.5089491176304737,56.37078503437508
2007-04-30,0.46246969347226424,59.376443892362445
2007-05-31,0.40743216225622675,57.780394041210144
2007-06-30,0.3688918661335296,56.77951391712649
2007-07-31,0.31638226569992495,48.11449721838033
2007-08-31,0.2751294169539282,42.03246660041282
2007-09-30,0.3493182502795608,55.42639494358021
2007-10-31,0.44744143685382326,62.99029397171292
2007-11-30,0.6990971688615316,82.83559586498896
2007-12-31,0.6850524239097089,75.07617439132602
2008-01-31,0.5816044710860314,65.97981622280946
2008-02-29,0.5205153358682508,64.52136746385027
2008-03-31,0.3999080792879519,47.24936421277902
2008-04-30,0.36647492332883647,50.93226205250446
2008-05-31,0.33223137755978266,48.75548673017839
2008-06-30,0.3241132519946751,49.29800726884425
2008-07-31,0.30796360995393074,48.955931987689986
2008-08-31,0.2888588172404959,45.52092064679606
2008-09-30,0.3429674231441374,54.04502149039643
2008-10-31,0.40339119827750197,59.701326010659656
2008-11-30,0.5007312661495492,60.288855145505465
2008-12-31,0.5891030211983425,69.786195652706
2009-01-31,0.46603043008654443,57.34065241888219
2009-02-28,0.5037110829914864,65.32786620837038
2009-03-31,0.4347882207641653,59.16775213512619
2009-04-30,0.37380135602307113,51.43275080018463
2009-05-31,0.3265687880157684,46.38854983196332
2009-06-30,0.29826210606225484,45.322343127992724
2009-07-31,0.2917990270186068,47.031449535212786
2009-08-31,0.29257933313768725,48.57362214830636
2009-09-30,0.33140776206741934,50.270163322772646
2009-10-31,0.4589067020727343,65.46906142558818
2009-11-30,0.4907407482523769,63.01857050823812
2009-12-31,0.4783686897583609,53.881327061198135
2010-01-31,0.4213093162256428,47.04509798099212
